id,brier,rps,auc,n,lat,lon,pietra,brier_week1,brier_week2,brier_week3,brier_week4,brier_later,auc_week1,auc_week2,auc_week3,auc_week4,auc_later,model,cv_method
Kura Jida,1.140483180510296,1.1331747284931613,0.6265432098765432,9,,,,,,,,,,,,,,blended_model,global
Kutaber,0.5618164340834995,0.45381062408501194,0.87,15,,,,,,,,,,,,,,blended_model,global
Kuyu,0.7356386690890658,0.564044546509405,0.775,10,,,,,,,,,,,,,,blended_model,global
Lalibela town,0.42612248755600374,0.334713719995764,0.9238227146814404,19,,,,,,,,,,,,,,blended_model,global
Lasta,0.42567656872217935,0.3389973482241942,0.9224376731301939,19,,,,,,,,,,,,,,blended_model,global
Lay Armacho,0.8482707571399004,0.6378217656119841,0.6635802469135802,9,,,,,,,,,,,,,,blended_model,global
Lay Gayint,0.4504642428760304,0.377425209919451,0.8964497041420119,13,,,,,,,,,,,,,,blended_model,global
Legambo,0.6757742618907192,0.6829925330940688,0.8284023668639053,13,,,,,,,,,,,,,,blended_model,global
Legehida,0.7679190136133711,0.8292796454516554,0.8136094674556213,13,,,,,,,,,,,,,,blended_model,global
Liban Jawi,0.7105577644335384,0.5034183797137133,0.8010204081632653,7,,,,,,,,,,,,,,blended_model,global
Liben Chukala,0.40132126481398706,0.23813080010433185,0.9349489795918368,14,,,,,,,,,,,,,,blended_model,global
Libokemekem,0.23869545933753133,0.12758923136615608,0.9985207100591716,13,,,,,,,,,,,,,,blended_model,global
Limu Bilbilo,0.5092507969146229,0.49091030916313527,0.8940972222222222,12,,,,,,,,,,,,,,blended_model,global
Lome (OR),0.45464173514244927,0.31107419588873464,0.9043367346938775,14,,,,,,,,,,,,,,blended_model,global
Lude Hitosa,0.4936758043774229,0.36046188135565477,0.8866666666666667,15,,,,,,,,,,,,,,blended_model,global
Lumame town,0.6327578803636578,0.4455667289528976,0.835,10,,,,,,,,,,,,,,blended_model,global
Mana Abichu,0.9988674358643037,0.996063768812292,0.6296296296296297,9,,,,,,,,,,,,,,blended_model,global
Masero Denb /Central Armacho,0.9125449479099343,0.7231803572831671,0.654320987654321,9,,,,,,,,,,,,,,blended_model,global
Mehal Meda town,0.5563077058317982,0.5226750018504911,0.8387573964497042,13,,,,,,,,,,,,,,blended_model,global
Mehal Sayint,0.39499549937070605,0.3129378713263564,0.9423076923076923,13,,,,,,,,,,,,,,blended_model,global
Mekan Eyesuse,0.20610902772396217,0.10728834062897638,0.9970414201183432,13,,,,,,,,,,,,,,blended_model,global
Mekane Selam town,0.23860082425542753,0.14857491002363218,0.9881656804733728,13,,,,,,,,,,,,,,blended_model,global
Mekdela,0.5328959193650483,0.438019381336576,0.8711734693877551,14,,,,,,,,,,,,,,blended_model,global
Meket,0.5962453120230774,0.5007225956119118,0.8290816326530612,14,,,,,,,,,,,,,,blended_model,global
Melka Nonno,0.9375965062094096,0.9147910469067041,0.6358024691358025,9,,,,,,,,,,,,,,blended_model,global
Mena Meketewa,0.5239351830605533,0.4872774113245781,0.8380102040816326,14,,,,,,,,,,,,,,blended_model,global
Menze Gera Midir,0.6145883707514147,0.6052867668757049,0.8239644970414202,13,,,,,,,,,,,,,,blended_model,global
Menze Keya Gabriel,0.4533155309433074,0.3893740519517531,0.9097633136094675,13,,,,,,,,,,,,,,blended_model,global
Menze Lalo Midir,0.477750720931129,0.41915729486966286,0.8846153846153846,13,,,,,,,,,,,,,,blended_model,global
Menze Mama Midir,0.5608935893338135,0.5289616561303061,0.8372781065088757,13,,,,,,,,,,,,,,blended_model,global
Merhabete,0.38286725690246143,0.29914117030588755,0.9437869822485208,13,,,,,,,,,,,,,,blended_model,global
Mersa town,0.3310029578104455,0.20990149242526332,0.9546485260770975,21,,,,,,,,,,,,,,blended_model,global
Merti,0.45795294392326547,0.31038802685158495,0.9033333333333333,15,,,,,,,,,,,,,,blended_model,global
Merto Lemariyam town,0.3136576292844998,0.20844999859047508,0.9822485207100592,13,,,,,,,,,,,,,,blended_model,global
Mesela /Shen Duggoo,0.6002345709348995,0.6179597382746462,0.8720703125,16,,,,,,,,,,,,,,blended_model,global
Meta Robi,0.7049297544254806,0.5129451148479485,0.7575,10,,,,,,,,,,,,,,blended_model,global
Meta Walkite,0.6901743176282623,0.6189698099901166,0.7654320987654321,9,,,,,,,,,,,,,,blended_model,global
Metehara town,0.5557695670555404,0.45375889570000333,0.8522222222222222,15,,,,,,,,,,,,,,blended_model,global
Michakel,0.6742267188022109,0.43554970232125967,0.7975,10,,,,,,,,,,,,,,blended_model,global
Mida Kegn,0.7785911707505191,0.6386656005288045,0.6388888888888888,6,,,,,,,,,,,,,,blended_model,global
Mida Woremo,1.5962020576472342,1.6663767278692614,0.5401234567901234,9,,,,,,,,,,,,,,blended_model,global
Mieso,0.6791678287668427,0.6460913662478608,0.8488888888888889,15,,,,,,,,,,,,,,blended_model,global
Minjar Shenkora,0.4031680886095101,0.23721577044321301,0.9388888888888889,15,,,,,,,,,,,,,,blended_model,global
